p (Variables),Noise Type,Variance Type,SHD
6,Uniform,Fixed,5
6,Uniform,Fixed,11
6,Uniform,Fixed,4
6,Uniform,Fixed,7
6,Uniform,Fixed,11
6,Uniform,Fixed,3
6,Uniform,Fixed,9
6,Uniform,Fixed,6
6,Uniform,Fixed,10
6,Uniform,Fixed,7
6,Uniform,Fixed,8
6,Uniform,Fixed,13
6,Uniform,Fixed,11
6,Uniform,Fixed,5
6,Uniform,Fixed,13
6,Uniform,Fixed,9
6,Uniform,Fixed,11
6,Uniform,Fixed,11
6,Uniform,Fixed,8
6,Uniform,Fixed,7
6,Uniform,Fixed,8
6,Uniform,Fixed,6
6,Uniform,Fixed,10
6,Uniform,Fixed,8
6,Uniform,Fixed,8
6,Uniform,Fixed,7
6,Uniform,Fixed,11
6,Uniform,Fixed,14
6,Uniform,Fixed,16
6,Uniform,Fixed,10
6,Uniform,Fixed,13
6,Uniform,Fixed,7
6,Uniform,Fixed,6
6,Uniform,Fixed,6
6,Uniform,Fixed,5
6,Uniform,Fixed,7
6,Uniform,Fixed,12
6,Uniform,Fixed,3
6,Uniform,Fixed,8
6,Uniform,Fixed,5
6,Uniform,Fixed,9
6,Uniform,Fixed,6
6,Uniform,Fixed,7
6,Uniform,Fixed,6
6,Uniform,Fixed,10
6,Uniform,Fixed,8
6,Uniform,Fixed,7
6,Uniform,Fixed,9
6,Uniform,Fixed,11
6,Uniform,Fixed,6
6,Uniform,Fixed,12
6,Uniform,Fixed,10
6,Uniform,Fixed,6
6,Uniform,Fixed,8
6,Uniform,Fixed,10
6,Uniform,Fixed,9
6,Uniform,Fixed,6
6,Uniform,Fixed,12
6,Uniform,Fixed,9
6,Uniform,Fixed,8
6,Uniform,Fixed,7
6,Uniform,Fixed,4
6,Uniform,Fixed,14
6,Uniform,Fixed,9
6,Uniform,Fixed,11
6,Uniform,Fixed,8
6,Uniform,Fixed,9
6,Uniform,Fixed,7
6,Uniform,Fixed,9
6,Uniform,Fixed,8
6,Uniform,Fixed,6
6,Uniform,Fixed,10
6,Uniform,Fixed,6
6,Uniform,Fixed,12
6,Uniform,Fixed,11
6,Uniform,Fixed,7
6,Uniform,Fixed,8
6,Uniform,Fixed,7
6,Uniform,Fixed,11
6,Uniform,Fixed,8
6,Uniform,Fixed,13
6,Uniform,Fixed,7
6,Uniform,Fixed,10
6,Uniform,Fixed,9
6,Uniform,Fixed,10
6,Uniform,Fixed,3
6,Uniform,Fixed,4
6,Uniform,Fixed,8
6,Uniform,Fixed,6
6,Uniform,Fixed,5
6,Uniform,Fixed,8
6,Uniform,Fixed,6
6,Uniform,Fixed,10
6,Uniform,Fixed,11
6,Uniform,Fixed,11
6,Uniform,Fixed,12
6,Uniform,Fixed,8
6,Uniform,Fixed,8
6,Uniform,Fixed,11
6,Uniform,Fixed,8
6,Gaussian,Fixed,9
6,Gaussian,Fixed,13
6,Gaussian,Fixed,8
6,Gaussian,Fixed,9
6,Gaussian,Fixed,11
6,Gaussian,Fixed,7
6,Gaussian,Fixed,9
6,Gaussian,Fixed,14
6,Gaussian,Fixed,6
6,Gaussian,Fixed,7
6,Gaussian,Fixed,10
6,Gaussian,Fixed,13
6,Gaussian,Fixed,11
6,Gaussian,Fixed,9
6,Gaussian,Fixed,10
6,Gaussian,Fixed,15
6,Gaussian,Fixed,10
6,Gaussian,Fixed,9
6,Gaussian,Fixed,10
6,Gaussian,Fixed,7
6,Gaussian,Fixed,8
6,Gaussian,Fixed,12
6,Gaussian,Fixed,12
6,Gaussian,Fixed,8
6,Gaussian,Fixed,12
6,Gaussian,Fixed,11
6,Gaussian,Fixed,11
6,Gaussian,Fixed,7
6,Gaussian,Fixed,11
6,Gaussian,Fixed,10
6,Gaussian,Fixed,11
6,Gaussian,Fixed,9
6,Gaussian,Fixed,8
6,Gaussian,Fixed,10
6,Gaussian,Fixed,5
6,Gaussian,Fixed,11
6,Gaussian,Fixed,10
6,Gaussian,Fixed,7
6,Gaussian,Fixed,10
6,Gaussian,Fixed,7
6,Gaussian,Fixed,7
6,Gaussian,Fixed,6
6,Gaussian,Fixed,7
6,Gaussian,Fixed,12
6,Gaussian,Fixed,6
6,Gaussian,Fixed,10
6,Gaussian,Fixed,7
6,Gaussian,Fixed,13
6,Gaussian,Fixed,13
6,Gaussian,Fixed,10
6,Gaussian,Fixed,12
6,Gaussian,Fixed,10
6,Gaussian,Fixed,8
6,Gaussian,Fixed,14
6,Gaussian,Fixed,12
6,Gaussian,Fixed,9
6,Gaussian,Fixed,10
6,Gaussian,Fixed,16
6,Gaussian,Fixed,9
6,Gaussian,Fixed,12
6,Gaussian,Fixed,7
6,Gaussian,Fixed,6
6,Gaussian,Fixed,13
6,Gaussian,Fixed,13
6,Gaussian,Fixed,13
6,Gaussian,Fixed,14
6,Gaussian,Fixed,9
6,Gaussian,Fixed,9
6,Gaussian,Fixed,7
6,Gaussian,Fixed,12
6,Gaussian,Fixed,12
6,Gaussian,Fixed,6
6,Gaussian,Fixed,10
6,Gaussian,Fixed,10
6,Gaussian,Fixed,9
6,Gaussian,Fixed,11
6,Gaussian,Fixed,14
6,Gaussian,Fixed,9
6,Gaussian,Fixed,13
6,Gaussian,Fixed,6
6,Gaussian,Fixed,11
6,Gaussian,Fixed,9
6,Gaussian,Fixed,8
6,Gaussian,Fixed,9
6,Gaussian,Fixed,10
6,Gaussian,Fixed,5
6,Gaussian,Fixed,8
6,Gaussian,Fixed,8
6,Gaussian,Fixed,10
6,Gaussian,Fixed,11
6,Gaussian,Fixed,10
6,Gaussian,Fixed,6
6,Gaussian,Fixed,12
6,Gaussian,Fixed,9
6,Gaussian,Fixed,11
6,Gaussian,Fixed,14
6,Gaussian,Fixed,6
6,Gaussian,Fixed,10
6,Gaussian,Fixed,11
6,Gaussian,Fixed,6
6,Uniform,Different,9
6,Uniform,Different,5
6,Uniform,Different,7
6,Uniform,Different,13
6,Uniform,Different,9
6,Uniform,Different,12
6,Uniform,Different,10
6,Uniform,Different,8
6,Uniform,Different,10
6,Uniform,Different,7
6,Uniform,Different,9
6,Uniform,Different,5
6,Uniform,Different,9
6,Uniform,Different,5
6,Uniform,Different,12
6,Uniform,Different,6
6,Uniform,Different,7
6,Uniform,Different,9
6,Uniform,Different,10
6,Uniform,Different,9
6,Uniform,Different,9
6,Uniform,Different,13
6,Uniform,Different,7
6,Uniform,Different,7
6,Uniform,Different,12
6,Uniform,Different,7
6,Uniform,Different,12
6,Uniform,Different,9
6,Uniform,Different,8
6,Uniform,Different,10
6,Uniform,Different,4
6,Uniform,Different,13
6,Uniform,Different,6
6,Uniform,Different,10
6,Uniform,Different,6
6,Uniform,Different,4
6,Uniform,Different,8
6,Uniform,Different,8
6,Uniform,Different,7
6,Uniform,Different,5
6,Uniform,Different,15
6,Uniform,Different,8
6,Uniform,Different,5
6,Uniform,Different,6
6,Uniform,Different,14
6,Uniform,Different,13
6,Uniform,Different,7
6,Uniform,Different,9
6,Uniform,Different,13
6,Uniform,Different,12
6,Uniform,Different,7
6,Uniform,Different,7
6,Uniform,Different,8
6,Uniform,Different,8
6,Uniform,Different,13
6,Uniform,Different,8
6,Uniform,Different,9
6,Uniform,Different,9
6,Uniform,Different,10
6,Uniform,Different,12
6,Uniform,Different,6
6,Uniform,Different,6
6,Uniform,Different,9
6,Uniform,Different,6
6,Uniform,Different,8
6,Uniform,Different,8
6,Uniform,Different,8
6,Uniform,Different,4
6,Uniform,Different,14
6,Uniform,Different,14
6,Uniform,Different,16
6,Uniform,Different,8
6,Uniform,Different,4
6,Uniform,Different,6
6,Uniform,Different,10
6,Uniform,Different,7
6,Uniform,Different,5
6,Uniform,Different,9
6,Uniform,Different,6
6,Uniform,Different,4
6,Uniform,Different,9
6,Uniform,Different,9
6,Uniform,Different,9
6,Uniform,Different,14
6,Uniform,Different,8
6,Uniform,Different,10
6,Uniform,Different,6
6,Uniform,Different,9
6,Uniform,Different,10
6,Uniform,Different,8
6,Uniform,Different,9
6,Uniform,Different,9
6,Uniform,Different,5
6,Uniform,Different,10
6,Uniform,Different,10
6,Uniform,Different,10
6,Uniform,Different,10
6,Uniform,Different,10
6,Uniform,Different,7
6,Uniform,Different,7
6,Gaussian,Different,9
6,Gaussian,Different,7
6,Gaussian,Different,13
6,Gaussian,Different,8
6,Gaussian,Different,11
6,Gaussian,Different,12
6,Gaussian,Different,10
6,Gaussian,Different,8
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,13
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,13
6,Gaussian,Different,16
6,Gaussian,Different,8
6,Gaussian,Different,9
6,Gaussian,Different,11
6,Gaussian,Different,15
6,Gaussian,Different,14
6,Gaussian,Different,15
6,Gaussian,Different,13
6,Gaussian,Different,11
6,Gaussian,Different,11
6,Gaussian,Different,12
6,Gaussian,Different,15
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,8
6,Gaussian,Different,12
6,Gaussian,Different,8
6,Gaussian,Different,15
6,Gaussian,Different,8
6,Gaussian,Different,12
6,Gaussian,Different,12
6,Gaussian,Different,12
6,Gaussian,Different,12
6,Gaussian,Different,10
6,Gaussian,Different,11
6,Gaussian,Different,12
6,Gaussian,Different,15
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,10
6,Gaussian,Different,10
6,Gaussian,Different,11
6,Gaussian,Different,9
6,Gaussian,Different,11
6,Gaussian,Different,15
6,Gaussian,Different,12
6,Gaussian,Different,9
6,Gaussian,Different,9
6,Gaussian,Different,13
6,Gaussian,Different,12
6,Gaussian,Different,13
6,Gaussian,Different,6
6,Gaussian,Different,11
6,Gaussian,Different,13
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,12
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,10
6,Gaussian,Different,10
6,Gaussian,Different,10
6,Gaussian,Different,11
6,Gaussian,Different,8
6,Gaussian,Different,10
6,Gaussian,Different,13
6,Gaussian,Different,18
6,Gaussian,Different,10
6,Gaussian,Different,11
6,Gaussian,Different,10
6,Gaussian,Different,10
6,Gaussian,Different,11
6,Gaussian,Different,12
6,Gaussian,Different,9
6,Gaussian,Different,10
6,Gaussian,Different,12
6,Gaussian,Different,11
6,Gaussian,Different,13
6,Gaussian,Different,15
6,Gaussian,Different,12
6,Gaussian,Different,8
6,Gaussian,Different,14
6,Gaussian,Different,12
6,Gaussian,Different,9
6,Gaussian,Different,12
6,Gaussian,Different,9
6,Gaussian,Different,13
6,Gaussian,Different,9
6,Gaussian,Different,9
6,Gaussian,Different,10
6,Gaussian,Different,8
6,Gaussian,Different,12
6,Gaussian,Different,4
6,Gaussian,Different,10
6,Gaussian,Different,9
6,Gaussian,Different,8
3,Uniform,Fixed,2
3,Uniform,Fixed,2
3,Uniform,Fixed,2
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,2
3,Uniform,Fixed,0
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,3
3,Uniform,Fixed,3
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,2
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,0
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,2
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,1
3,Uniform,Fixed,3
3,Uniform,Fixed,2
